"otableauposte_id","TableauName","tableauLongName","ostableauposte_id","StableauName","StbleauLongName","ostblarea_id","AreaShortName","AreaLongName","oreference_id","RefCode","Description","fullDescription","ocompte_id","CompteNumber","Taux","Exception"
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e706","BJ","Autres créances","BJ-Autres créances","5aee0efd23b8a2227003e673","497",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e707","BQ","Titres de placement","BQ-Titres de placement","5aee0efd23b8a2227003e674","590",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e708","BR","Valeurs à encaisser","BR-Valeurs à encaisser","5aee0efd23b8a2227003e675","591",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e676","592",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e677","593",1,false
"5aee0eff23b8a2227003e7aa","tblActif","Bilan Actif","5aee0eff23b8a2227003e7a4","tblProvision","Provisions","5aee0efe23b8a2227003e792","Provis","Provis","5aee0efe23b8a2227003e709","BS","Banques","BS-Banques","5aee0efd23b8a2227003e678","594",1,false
"5aee0eff23b8a2227003e7ab","tblCharges","Résultat Charges","5aee0eff23b8a2227003e7a5","tblResultChrges","Résultat Charges","5aee0efe23b8a2227003e77b","ChrgeFinanc","ChrgeFinanc","5aee0efe23b8a2227003e730","SA","Frais financiers","SA-Frais financiers","5aee0efd23b8a2227003e679","67",1,true
"5aee0eff23b8a2227003e7ab","tblCharges","Résultat Charges","5aee0eff23b8a2227003e7a5","tblResultChrges","Résultat Charges","5aee0efe23b8a2227003e77b","ChrgeFinanc","ChrgeFinanc","5aee0efe23b8a2227003e731","SC","Pertes de change","SC-Pertes de change","5aee0efd23b8a2227003e67a","676",1,false
"5aee0eff23b8a2227003e7ab","tblCharges","Résultat Charges","5aee0eff23b8a2227003e7a5","tblResultChrges","Résultat Charges","5aee0efe23b8a2227003e77b","ChrgeFinanc","ChrgeFinanc","5aee0efe23b8a2227003e732","SD","Dotations aux amortissements et aux provisions","SD-Dotations aux amortissements et aux provisions","5aee0efd23b8a2227003e67b","687",1,false
"5aee0eff23b8a2227003e7ab","tblCharges","Résultat Charges","5aee0eff23b8a2227003e7a5","tblResultChrges","Résultat Charges","5aee0efe23b8a2227003e77b","ChrgeFinanc","ChrgeFinanc","5aee0efe23b8a2227003e732","SD","Dotations aux amortissements et aux provisions","SD-Dotations aux amortissements et aux provisions","5aee0efd23b8a2227003e67c","697",1,false
