"_otableauposte_id","_oexerccompta_id","_oreference_id","SoldeCredit","SoldeDebit"
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8207",0,40973760
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8207",0,4825000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8207",0,574000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c8207",0,1225000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821f",0,38217492
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821f",0,4952197
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821f",0,1094814
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821f",0,4075609
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821f",0,1657475
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821f",0,28258116
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821f",0,2000
"5a7121b858229e24b01c8295","5a1e148074e45239e055feb9","5a7121b858229e24b01c821b",13450000,0
